"estimated_load","latitude","longitude","route_number","speed","vehicle_number","event_timestamp"
,"45.517053","-122.675187",,"16","3038","1492200000"
,"45.430257","-122.634795",,"21","3110","1492200002"
,,,,,"3547","1492200002"
,"45.400642","-122.606182",,"34","3538","1492200003"
,,,,,"3547","1492200003"
,"45.511757","-122.61152",,"3","2505","1492200004"
,"45.511033","-122.784348",,"17","3540","1492200004"
"3","45.400642","-122.606181","32",,"3538","1492200004"
,"45.547982","-122.58971",,"9","3239","1492200004"
,,,,,"3538","1492200005"
,"45.517185","-122.675112",,"6","3038","1492200005"
"13","45.51185","-122.611534","14",,"2505","1492200006"
,"45.42974","-122.634713",,"26","3110","1492200007"
,"45.594645","-122.759233",,"3","3547","1492200007"
,"45.401083","-122.606958",,"34","3538","1492200008"
"10","45.547982","-122.589709","12",,"3239","1492200008"
,"45.511233","-122.784722",,"16","3540","1492200009"
,"45.54813","-122.589318",,"16","3239","1492200009"
,"45.517297","-122.675045",,"7","3038","1492200010"
"46","45.518369","-122.67895","100",,"323","1492200011"
,"45.429182","-122.634627",,"28","3110","1492200012"
,"45.594278","-122.758872",,"22","3547","1492200012"
,"45.401505","-122.607722",,"34","3538","1492200013"
,"45.511497","-122.78495",,"15","3540","1492200014"
,"45.548345","-122.588788",,"22","3239","1492200014"
,"45.517623","-122.674868",,"17","3038","1492200015"
,"45.428598","-122.634532",,"29","3110","1492200017"
,"45.593963","-122.758568",,"18","3547","1492200017"
,"45.401933","-122.608493",,"34","3538","1492200018"
,"45.511798","-122.784945",,"15","3540","1492200019"
,"45.517827","-122.674763",,"13","3038","1492200019"
,"45.548597","-122.588157",,"26","3239","1492200019"
"3","45.401933","-122.608492","32",,"3538","1492200020"
,,,,,"3538","1492200021"
,"45.427983","-122.634425",,"30","3110","1492200022"
,"45.593733","-122.758348",,"13","3547","1492200022"
,"45.40235","-122.609257",,"34","3538","1492200023"
,"45.51205","-122.784723",,"14","3540","1492200024"
,"45.548852","-122.5875",,"26","3239","1492200024"
,"45.518148","-122.674602",,"14","3038","1492200025"
"19","45.427983","-122.634424","33",,"3110","1492200026"
,"45.427322","-122.634305",,"33","3110","1492200027"
,"45.593645","-122.758262",,"5","3547","1492200027"
,"45.40276","-122.609935",,"30","3538","1492200028"
,"45.512247","-122.784565",,"11","3540","1492200029"
,"45.549075","-122.586885",,"23","3239","1492200029"
,"45.518423","-122.674448",,"14","3038","1492200030"
,"45.42663","-122.634182",,"34","3110","1492200032"
,"45.403053","-122.610318",,"19","3538","1492200033"
,"45.512393","-122.784512",,"7","3540","1492200034"
,"45.549198","-122.586557",,"11","3239","1492200034"
,"45.518655","-122.67432",,"13","3038","1492200035"
,,,,,"2505","1492200037"
,"45.42595","-122.63407",,"34","3110","1492200037"
"82","45.495296","-122.821542","100",,"304","1492200037"
,"45.593623","-122.758237",,"2","3547","1492200037"
"8","45.549208","-122.586532","12","1","3239","1492200037"
,,,,,"2505","1492200038"
,"45.403193","-122.6105",,"9","3538","1492200038"
,"45.512055","-122.611668",,"3","2505","1492200039"
,"45.518907","-122.674175",,"13","3038","1492200040"
,"45.425283","-122.633965",,"33","3110","1492200042"
,"45.403463","-122.610855",,"19","3538","1492200043"
,"45.512127","-122.612035",,"13","2505","1492200044"
,"45.519072","-122.674077",,"8","3038","1492200045"
,"45.42462","-122.633858",,"33","3110","1492200047"
"3","45.40384","-122.611368","32","26","3538","1492200048"
,"45.512118","-122.612548",,"17","2505","1492200049"
,,,,,"3538","1492200049"
,,,,,"3239","1492200049"
"19","45.42462","-122.633857","33",,"3110","1492200050"
,,,,,"3239","1492200050"
,,,,,"3110","1492200051"
,"45.423985","-122.63376",,"32","3110","1492200052"
,"45.593545","-122.758162",,"5","3547","1492200052"
,"45.404285","-122.611965",,"31","3538","1492200053"
,"45.512098","-122.613053",,"17","2505","1492200054"
,"45.549487","-122.58586",,"9","3239","1492200054"
,"45.519138","-122.674032",,"4","3038","1492200055"
,"45.423457","-122.633697",,"26","3110","1492200057"
,"45.593392","-122.758012",,"10","3547","1492200057"
,"45.4048","-122.61264",,"34","3538","1492200058"
,"45.512085","-122.613492",,"15","2505","1492200059"
,"45.512483","-122.784447",,"5","3540","1492200059"
,"45.519155","-122.67402",,"1","3038","1492200059"
,,,,,"304","1492200059"
,"45.549745","-122.585198",,"26","3239","1492200059"
,,,,,"304","1492200060"
,"45.423128","-122.633668",,"15","3110","1492200062"
,"45.593082","-122.757713",,"18","3547","1492200062"
,"45.405327","-122.613325",,"35","3538","1492200063"
,"45.512075","-122.613917",,"15","2505","1492200064"
,"45.512523","-122.784122",,"12","3540","1492200064"
